epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.615,1.93997,3.79399,1.96308,0.15621,0.15873,0.10009,0.05389,2.01626,4.07185,2.09679,0.00044299,0.00044299,0.00044299
2,262.002,1.9396,3.70197,1.96094,0.16403,0.33333,0.08292,0.04612,2.24408,4.44915,2.25669,0.000840852,0.000840852,0.000840852
3,390.641,1.99994,3.63171,2.02892,0.0319,0.25397,0.03779,0.01679,2.42057,7.1221,2.57515,0.00117835,0.00117835,0.00117835
4,518.853,2.04193,3.66056,2.03497,0.16713,0.19048,0.11429,0.05976,2.15012,3.99149,2.17516,0.00114606,0.00114606,0.00114606
5,644.814,2.05349,3.57359,2.03706,0.13051,0.14286,0.09538,0.04282,2.06931,4.16213,2.23932,0.00105174,0.00105174,0.00105174
6,773.881,2.01559,4.17803,2.1488,0.43128,0.1772,0.10455,0.04882,2.06081,5.02426,2.32357,0.00095743,0.00095743,0.00095743
7,899.817,1.968,3.98169,2.10291,0.46875,0.20635,0.16286,0.06312,1.93858,3.94192,2.04363,0.000863116,0.000863116,0.000863116
8,1034.02,1.94497,3.86673,2.08563,0.78117,0.14286,0.16363,0.05425,1.97852,6.26302,2.21794,0.000768802,0.000768802,0.000768802
9,1158.22,1.91078,3.72918,2.04367,0.76848,0.14669,0.1052,0.04876,1.89805,5.64606,2.13733,0.000674488,0.000674488,0.000674488
10,1284.26,1.7939,3.53904,1.99612,0.46787,0.26331,0.08436,0.04096,1.7789,4.27686,2.00765,0.000580174,0.000580174,0.000580174
11,1409.51,1.66196,3.45646,1.91357,0.15967,0.39683,0.17787,0.10206,1.69396,3.93951,1.92485,0.00048586,0.00048586,0.00048586
12,1532.06,1.72969,3.40039,1.92623,0.27408,0.33333,0.20379,0.1133,1.82781,3.66624,2.02799,0.000391546,0.000391546,0.000391546
13,1656.88,1.61675,3.28228,1.82373,0.3122,0.36508,0.2803,0.1856,1.68026,3.35153,1.89517,0.000297232,0.000297232,0.000297232
14,1788,1.57816,3.22021,1.84247,0.36036,0.36508,0.30132,0.2057,1.60673,3.19405,1.81896,0.000202918,0.000202918,0.000202918
15,1922.93,1.58656,3.20752,1.80726,0.34302,0.36508,0.31975,0.22363,1.66738,3.15303,1.84871,0.000108604,0.000108604,0.000108604
