epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.967,2.33761,4.48164,2.30161,0.00149,0.44444,0.02815,0.00787,2.28474,5.05979,2.11719,0.00044299,0.00044299,0.00044299
2,272.201,2.18383,4.15236,2.17484,0.00192,0.55556,0.04808,0.01853,2.11039,4.52077,2.28899,0.000722017,0.000722017,0.000722017
3,399.035,2.20283,4.02165,2.17606,0.69883,0.11111,0.06744,0.0229,2.30939,4.59558,2.35701,0.00081996,0.00081996,0.00081996
4,527.445,2.10176,4.0483,2.11097,0.43214,0.11111,0.06075,0.02471,2.22048,4.31903,2.29387,0.000580174,0.000580174,0.000580174
5,656.092,2.09659,3.80238,2.04816,0.15997,0.19048,0.10198,0.06153,1.97047,4.22324,2.05295,0.000297232,0.000297232,0.000297232
